email,mcNumber,phone,url
"LC.TRANSPORT2013@GMAIL.COM","MC-482901","(612) 919-1943","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=482901"
"SP_S72576@YAHOO.COM","MC-482905","(870) 895-2667","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=482905"
"RGRIDER.RGT@GMAIL.COM","MC-482909","(859) 509-8265","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=482909"
"LMACBON@COONEYTRANSIT.COM","MC-482914","(613) 561-5448","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=482914"
"","MC-482917","(240) 882-4444","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=482917"
"JOHNSAMMONS58@ICLOUD.COM","MC-482925","(912) 536-0893","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=482925"
"ROYCE018@CENTURYTEL.NET","MC-482928","(715) 512-0600","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=482928"
"TRIPLEASTRUCKING@HOTMAIL.COM","MC-482929","(509) 440-3095","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=482929"
"JCTRUCKINGKATY@YAHOO.COM","MC-482934","(281) 850-8514","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=482934"
"SUSAN@ORLANTRUSS.COM","MC-482935","(717) 680-0108","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=482935"
"","MC-482948","(704) 278-4559","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=482948"
"JOHNJULIESHAFER@YAHOO.COM","MC-482958","(920) 517-2882","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=482958"
"ONTIMEEXPRESS@OUTLOOK.COM","MC-482959","(847) 515-9274","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=482959"
"WILLIAM.CLANTON@AOL.COM","MC-482961","(562) 544-9175","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=482961"
"","MC-482962","(281) 796-9832","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=482962"
"MTUTRANSPORT@OUTLOOK.COM","MC-482970","(956) 454-5232","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=482970"
"RAY@AANDWXPRESS.COM","MC-482974","(734) 799-2250","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=482974"
"MAIN@BLUENORTHERNDISTRIBUTING.COM","MC-482977","(888) 901-6455","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=482977"
"SUE11758@AOL.COM","MC-482985","(516) 250-7431","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=482985"
"ARAUJOSTRANSPORT@HOTMAIL.COM","MC-482998","(619) 227-8462","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=482998"
