email,mcNumber,phone,url
"SOUTHWEST1523@HOTMAIL.COM","MC-486529","(575) 748-3223","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486529"
"MTHILL9@AOL.COM","MC-486532","(208) 276-3399","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486532"
"HTTRUCKING0069@YAHOO.COM","MC-486545","(770) 468-2939","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486545"
"CLASSICBODY@IOWATELECOM.NET","MC-486549","(563) 243-2688","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486549"
"JLKRAHL@MSN.COM","MC-486550","(303) 915-3720","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486550"
"BANDBTRANS@GMAIL.COM","MC-486555","(740) 638-2428","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486555"
"FREEDOMTRANSPORT@HOTMAIL.COM","MC-486556","(289) 445-1341","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486556"
"MAURICETRUCKING@AOL.COM","MC-486581","(202) 359-1055","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486581"
"ORACLETRANSPORTLLC@OUTLOOK.COM","MC-486583","(662) 703-9243","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486583"
"","MC-486590","(507) 647-2651","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486590"
"COMPLIANCE@SEKOLOGISTICS.COM","MC-486602","(630) 919-4800","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486602"
"LATICEXPRESS@YAHOO.COM","MC-486622","(916) 833-7301","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486622"
"NMCS@QWEST.NET","MC-486636","(208) 343-2450","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486636"
"SAFEWAYTOURTRAVELLEGACY@GMAIL.COM","MC-486642","(469) 878-5501","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486642"
"GSANDOVALCERVANTES@GMAIL.COM","","(956) 651-7053","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486644"
"KROAD2004@GMAIL.COM","MC-486653","(708) 369-9792","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486653"
"BRAD@TRANSPORTINC.BIZ","MC-486657","(317) 244-2366","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486657"
"SHIPPLIVESTOCK@GMAIL.COM","MC-486658","(307) 321-4785","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486658"
"OMSHIVA099@GMAIL.COM","MC-486672","(972) 510-9546","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486672"
"","MC-486676","(405) 283-0698","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486676"
"","MC-486687","(817) 638-2723","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486687"
"SNAKECREEK@OUTLOOK.COM","MC-486689","(701) 366-4507","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486689"
"JEANNELOUISE@BELLSOUTH.NET","MC-486693","(901) 365-7860","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486693"
"TPS.TRANSPORTLLC@GMAIL.COM","MC-486699","(970) 646-2883","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486699"
"DNTHATELY@AOL.COM","MC-486706","(970) 560-0037","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486706"
"DANABLECHA@YAHOO.COM","MC-486710","(785) 822-7720","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=486710"
