email,mcNumber,phone,url
"HOLLY@WMTRANSPORT.COM; KBAKALYAR@WMTRANSPORT.COM","MC-490908","(410) 238-7759","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=490908"
"ARMANDO0647@SBCGLOBAL.NET","MC-490914","(626) 975-8687","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=490914"
"ADMINISTRACION@GOCAR.COM.MX","","(639) 467-8176","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=490930"
"DWCTRUCKING@YAHOO.COM","MC-490952","(662) 542-1147","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=490952"
"INFO@SIERRAAIRFREIGHTEXPRESS.COM","MC-490957","(775) 827-9989","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=490957"
"BULLWINKLETRUCKING@HOTMAIL.COM","MC-490959","(509) 496-6149","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=490959"
"","MC-490962","(308) 872-5755","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=490962"
"MARCIALTRUCKING@OUTLOOK.COM","MC-490963","(559) 469-7469","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=490963"
"BALDRIDGEJOE@AOL.COM","MC-490964","(319) 329-0025","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=490964"
"DFLOYD1972@CLOUD.COM","MC-490966","(843) 319-1058","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=490966"
"CYNTHIA@JAXTRANS.NET","MC-490971","(806) 355-1463","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=490971"
"LAFFFETTE@HOTMAIL.COM","MC-490972","(843) 598-5845","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=490972"
"SAMANTHA@ALLSTATESTRUCK.COM","MC-490977","(432) 638-7960","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=490977"
"LOGISTICS@KLEINSPICKLE.COM","MC-490978","(602) 269-2072","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=490978"
"AGKRAWCZYK@YAHOO.COM","MC-490980","(847) 361-0182","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=490980"
"CHRIS@ROSSTOWING.CA","MC-490983","(519) 685-1212","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=490983"
"JDWRIGHTTRUCKING@BELLSOUTH.NET","MC-490989","(931) 808-8477","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=490989"
"GREATCOUNTRYTRUCKING@GMAIL.COM","MC-490991","(405) 701-3067","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=490991"
"SAFETY@APPLEMOVING.COM","MC-490993","(512) 452-0399","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=490993"
"SEMISEXP@HBCI.COM","MC-490997","(507) 474-9130","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=490997"
"JOHN@HOUSTONDISTRIBUTION.NET","MC-491000","(713) 747-8880","https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=491000"
